sensor_id,timestamp,latitude,longitude,ph,turbidity,temperature,conductivity
"sensor-3","2025-11-24T21:37:12.883Z",43.2965,5.3698,7.3,2.08,18.45,1347.88
"sensor-1","2025-11-24T21:48:18.844Z",48.8566,2.3522,7.33,2.96,15.4,953.16
"sensor-2","2025-11-24T21:48:18.848Z",45.764,4.8357,7.08,12.27,18.4,1053.47
"sensor-3","2025-11-24T21:48:18.848Z",43.2965,5.3698,7.65,1.68,19.65,1625.29
"sensor-1","2025-11-24T21:48:23.846Z",48.8566,2.3522,6.99,2.06,14.21,812.83
"sensor-2","2025-11-24T21:48:23.847Z",45.764,4.8357,7.23,3.25,17.71,1121.14
"sensor-3","2025-11-24T21:48:23.847Z",43.2965,5.3698,7.48,1.78,18.04,1555.89
"sensor-1","2025-11-24T21:48:28.848Z",48.8566,2.3522,7.39,2.66,16.34,769.97
"sensor-2","2025-11-24T21:48:28.849Z",45.764,4.8357,6.77,2.83,19.29,1141.33
"sensor-3","2025-11-24T21:48:28.849Z",43.2965,5.3698,7.4,1.68,20.03,1606.79
"sensor-1","2025-11-24T21:48:33.849Z",48.8566,2.3522,7.33,2.01,16.42,999.79
"sensor-2","2025-11-24T21:48:33.849Z",45.764,4.8357,7.25,3.45,17.07,1097.11
"sensor-3","2025-11-24T21:48:33.850Z",43.2965,5.3698,7.76,1.59,19.51,1569.59
"sensor-1","2025-11-24T21:48:38.859Z",48.8566,2.3522,7.45,2.75,14.59,620.33
"sensor-2","2025-11-24T21:48:38.859Z",45.764,4.8357,7.28,2.55,19.89,1162.67
"sensor-3","2025-11-24T21:48:38.860Z",43.2965,5.3698,7.31,1.61,19.59,1643.23
"sensor-1","2025-11-24T21:48:43.869Z",48.8566,2.3522,7.41,2.08,14.92,899.05
"sensor-2","2025-11-24T21:48:43.869Z",45.764,4.8357,6.99,3.48,19.24,1119.13
"sensor-3","2025-11-24T21:48:43.870Z",43.2965,5.3698,7.66,1.54,18.02,1627.62
"sensor-1","2025-11-24T21:48:48.874Z",48.8566,2.3522,7.08,2.18,14.93,982.98
"sensor-2","2025-11-24T21:48:48.875Z",45.764,4.8357,7.01,3.3,19.4,1101.34
"sensor-3","2025-11-24T21:48:48.875Z",43.2965,5.3698,7.78,10.3,18.78,1371.2
"sensor-1","2025-11-24T21:48:53.888Z",48.8566,2.3522,7,2.71,16.29,983.67
"sensor-2","2025-11-24T21:48:53.890Z",45.764,4.8357,6.72,2.6,19.69,1294.44
"sensor-3","2025-11-24T21:48:53.901Z",43.2965,5.3698,7.35,2.08,21.24,1602.92
"sensor-1","2025-11-24T21:48:58.904Z",48.8566,2.3522,7.33,2.13,13.77,918.18
"sensor-2","2025-11-24T21:48:58.905Z",45.764,4.8357,7.03,3.34,19.75,1028.93
"sensor-3","2025-11-24T21:48:58.905Z",43.2965,5.3698,7.51,1.85,19.16,1646.97
"sensor-1","2025-11-24T21:49:03.909Z",48.8566,2.3522,7.22,2.92,13.09,875.03
"sensor-2","2025-11-24T21:49:03.911Z",45.764,4.8357,7.11,2.96,19.23,1073.5
"sensor-3","2025-11-24T21:49:03.914Z",43.2965,5.3698,7.57,1.93,20.02,1384.6
"sensor-1","2025-11-24T21:49:08.915Z",48.8566,2.3522,7.24,2.94,15.8,895.19
"sensor-2","2025-11-24T21:49:08.916Z",45.764,4.8357,6.72,11.9,19.86,1112.05
"sensor-3","2025-11-24T21:49:08.916Z",43.2965,5.3698,7.43,2.23,20.48,1516.93
"sensor-1","2025-11-24T21:49:13.920Z",48.8566,2.3522,6.99,2.07,13.3,989.53
"sensor-2","2025-11-24T21:49:13.921Z",45.764,4.8357,7.2,2.6,17.38,1081.61
"sensor-3","2025-11-24T21:49:13.922Z",43.2965,5.3698,7.63,1.75,20.21,1435.09
"sensor-1","2025-11-24T21:49:18.934Z",48.8566,2.3522,7.27,2.06,13.6,800.42
"sensor-2","2025-11-24T21:49:18.934Z",45.764,4.8357,6.9,3.4,17.26,1054.97
"sensor-3","2025-11-24T21:49:18.934Z",43.2965,5.3698,3.58,1.94,20.3,1506.8
"sensor-1","2025-11-24T21:49:23.947Z",48.8566,2.3522,7.13,2.53,14.19,988.12
"sensor-2","2025-11-24T21:49:23.949Z",45.764,4.8357,7.11,2.51,31.74,1293.29
"sensor-3","2025-11-24T21:49:23.951Z",43.2965,5.3698,7.41,2.28,18.31,1417.18
"sensor-1","2025-11-24T21:49:28.960Z",48.8566,2.3522,7.11,2.24,14.81,910.18
"sensor-2","2025-11-24T21:49:28.962Z",45.764,4.8357,7.08,2.99,18.28,1188.23
"sensor-3","2025-11-24T21:49:28.962Z",43.2965,5.3698,7.65,1.56,21.85,1332.91
"sensor-1","2025-11-24T21:49:33.967Z",48.8566,2.3522,7.21,2.71,14.07,648.38
"sensor-2","2025-11-24T21:49:33.969Z",45.764,4.8357,6.8,2.78,18.86,1048.75
"sensor-3","2025-11-24T21:49:33.969Z",43.2965,5.3698,7.36,2.21,18.35,1579.78
"sensor-1","2025-11-24T21:49:38.983Z",48.8566,2.3522,7.03,2.2,15.42,747.18
"sensor-2","2025-11-24T21:49:38.989Z",45.764,4.8357,7.2,2.87,19.45,1198.63
"sensor-3","2025-11-24T21:49:38.991Z",43.2965,5.3698,7.43,1.93,20.44,1353.21
"sensor-1","2025-11-24T21:49:43.988Z",48.8566,2.3522,7.48,2,14.56,799.05
"sensor-2","2025-11-24T21:49:43.989Z",45.764,4.8357,7.08,2.94,16.27,4641.37
"sensor-3","2025-11-24T21:49:43.990Z",43.2965,5.3698,7.58,2.17,20.76,1388.6
"sensor-1","2025-11-24T21:49:48.998Z",48.8566,2.3522,7.05,2.17,14.09,745.87
"sensor-2","2025-11-24T21:49:49.001Z",45.764,4.8357,6.86,3.13,16.33,1009.04
"sensor-3","2025-11-24T21:49:49.003Z",43.2965,5.3698,7.69,1.35,20.7,1333.24
"sensor-1","2025-11-24T21:49:54.015Z",48.8566,2.3522,4.12,2.64,15.58,824.45
"sensor-2","2025-11-24T21:49:54.016Z",45.764,4.8357,7.21,3,16.1,1037.71
"sensor-3","2025-11-24T21:49:54.017Z",43.2965,5.3698,9.97,1.67,21.63,1663.71
"sensor-1","2025-11-24T21:49:59.017Z",48.8566,2.3522,7.19,2.02,16.58,708.82
"sensor-2","2025-11-24T21:49:59.018Z",45.764,4.8357,6.79,2.69,17.31,1096.82
"sensor-3","2025-11-24T21:49:59.019Z",43.2965,5.3698,7.38,1.36,21.51,1496.86
"sensor-1","2025-11-24T21:50:04.022Z",48.8566,2.3522,7.29,2.86,15.54,785.69
"sensor-2","2025-11-24T21:50:04.022Z",45.764,4.8357,6.88,3.34,18.59,1350.54
"sensor-3","2025-11-24T21:50:04.023Z",43.2965,5.3698,7.22,1.89,21.59,1361.58
"sensor-1","2025-11-24T21:50:09.035Z",48.8566,2.3522,7.27,2.75,13.23,777.68
"sensor-2","2025-11-24T21:50:09.036Z",45.764,4.8357,7.04,3.46,16.42,1018.8
"sensor-3","2025-11-24T21:50:09.036Z",43.2965,5.3698,7.41,2.16,19.6,1370.54
"sensor-1","2025-11-24T21:50:14.045Z",48.8566,2.3522,7.19,2.96,13.59,764.47
"sensor-2","2025-11-24T21:50:14.045Z",45.764,4.8357,7.2,3.23,19.38,1363.41
"sensor-3","2025-11-24T21:50:14.046Z",43.2965,5.3698,7.55,1.67,19.63,1473.54
"sensor-1","2025-11-24T21:50:19.053Z",48.8566,2.3522,7.14,2.24,13.44,812.45
"sensor-2","2025-11-24T21:50:19.055Z",45.764,4.8357,7.11,2.95,19.38,1038.2
"sensor-3","2025-11-24T21:50:19.055Z",43.2965,5.3698,7.31,1.65,21.76,1352.91
"sensor-1","2025-11-24T21:50:24.066Z",48.8566,2.3522,7.36,2.65,14.08,900.63
"sensor-2","2025-11-24T21:50:24.067Z",45.764,4.8357,6.76,3.5,16.06,1198.18
"sensor-3","2025-11-24T21:50:24.069Z",43.2965,5.3698,7.57,2.17,20.85,1442.1
"sensor-1","2025-11-24T21:50:29.068Z",48.8566,2.3522,6.97,2.8,14.66,700.66
"sensor-2","2025-11-24T21:50:29.069Z",45.764,4.8357,6.72,3.38,18.73,1214.3
"sensor-3","2025-11-24T21:50:29.069Z",43.2965,5.3698,7.57,1.54,19.38,1305.83
"sensor-1","2025-11-24T21:50:34.073Z",48.8566,2.3522,7.22,2.42,14.64,914.6
"sensor-2","2025-11-24T21:50:34.075Z",45.764,4.8357,6.98,2.81,19.97,1372.34
"sensor-3","2025-11-24T21:50:34.076Z",43.2965,5.3698,7.66,1.98,18.58,1652.17
"sensor-1","2025-11-24T21:50:39.089Z",48.8566,2.3522,7.47,2.13,16.95,714.08
"sensor-2","2025-11-24T21:50:39.089Z",45.764,4.8357,7,3.18,17.82,1149.58
"sensor-3","2025-11-24T21:50:39.090Z",43.2965,5.3698,7.29,1.46,18.67,1357.24
"sensor-1","2025-11-24T21:50:44.101Z",48.8566,2.3522,7.1,2.99,15.62,977.13
"sensor-2","2025-11-24T21:50:44.101Z",45.764,4.8357,7.15,2.76,18.63,1340.73
"sensor-3","2025-11-24T21:50:44.101Z",43.2965,5.3698,7.41,2.3,21.68,1682.1
"sensor-1","2025-11-24T21:50:49.105Z",48.8566,2.3522,6.97,2.72,16.37,959.45
"sensor-2","2025-11-24T21:50:49.107Z",45.764,4.8357,7.07,2.98,18.97,1099.68
"sensor-3","2025-11-24T21:50:49.108Z",43.2965,5.3698,7.34,2.24,21.44,1375.46
"sensor-1","2025-11-24T21:50:54.117Z",48.8566,2.3522,7.29,2.95,14.68,956.24
"sensor-2","2025-11-24T21:50:54.127Z",45.764,4.8357,6.85,3.01,17.05,1386.28
"sensor-3","2025-11-24T21:50:54.156Z",43.2965,5.3698,7.47,1.9,21.94,1357.35
"sensor-1","2025-11-24T21:50:59.126Z",48.8566,2.3522,7.08,3,16.24,754.23
"sensor-2","2025-11-24T21:50:59.127Z",45.764,4.8357,6.71,3.29,16.86,1197.02
"sensor-3","2025-11-24T21:50:59.127Z",43.2965,5.3698,7.62,2.18,20.2,1697.97
"sensor-1","2025-11-24T21:51:04.139Z",48.8566,2.3522,7.41,2.58,13.8,713.83
"sensor-2","2025-11-24T21:51:04.140Z",45.764,4.8357,6.95,2.77,39.61,1171.49
"sensor-3","2025-11-24T21:51:04.147Z",43.2965,5.3698,7.58,1.63,18.55,1332.74
"sensor-1","2025-11-24T21:51:09.140Z",48.8566,2.3522,7.05,2.25,16.57,986.94
"sensor-2","2025-11-24T21:51:09.141Z",45.764,4.8357,6.86,2.93,17.17,1353
"sensor-3","2025-11-24T21:51:09.149Z",43.2965,5.3698,7.4,1.53,19.78,1611.93
"sensor-1","2025-11-24T21:51:14.153Z",48.8566,2.3522,7.27,2.73,13.61,838.86
"sensor-2","2025-11-24T21:51:14.154Z",45.764,4.8357,6.74,2.92,16.25,1255.24
"sensor-3","2025-11-24T21:51:14.154Z",43.2965,5.3698,7.58,1.67,20.29,1667.55
"sensor-1","2025-11-24T21:51:19.157Z",48.8566,2.3522,6.97,2.78,15.07,641.57
"sensor-2","2025-11-24T21:51:19.158Z",45.764,4.8357,7.14,2.57,18.21,3326.45
"sensor-3","2025-11-24T21:51:19.159Z",43.2965,5.3698,7.44,2.13,19.86,1549.61
"sensor-1","2025-11-24T21:51:24.175Z",48.8566,2.3522,7.36,2.16,14.45,812.34
"sensor-2","2025-11-24T21:51:24.179Z",45.764,4.8357,7.03,3.46,16.58,1229.57
"sensor-3","2025-11-24T21:51:24.194Z",43.2965,5.3698,7.2,2.01,19.07,1433.49
"sensor-1","2025-11-24T21:51:29.187Z",48.8566,2.3522,7.46,2.77,14.39,720.17
"sensor-2","2025-11-24T21:51:29.192Z",45.764,4.8357,7.06,3.41,17.04,1253.83
"sensor-3","2025-11-24T21:51:29.201Z",43.2965,5.3698,7.4,1.38,20.73,1588.02
"sensor-1","2025-11-24T21:51:34.196Z",48.8566,2.3522,7.43,2.55,16.39,728.47
"sensor-2","2025-11-24T21:51:34.197Z",45.764,4.8357,7.24,2.92,17.84,1318.32
"sensor-3","2025-11-24T21:51:34.197Z",43.2965,5.3698,7.61,1.59,19.34,1619.61
"sensor-1","2025-11-24T21:51:39.209Z",48.8566,2.3522,7.3,2.65,14.6,849.7
"sensor-2","2025-11-24T21:51:39.210Z",45.764,4.8357,6.94,2.87,18.01,1096.76
"sensor-3","2025-11-24T21:51:39.212Z",43.2965,5.3698,7.2,1.62,19.08,1593.17
"sensor-1","2025-11-24T21:51:44.224Z",48.8566,2.3522,7.17,2.33,14.95,810.28
"sensor-2","2025-11-24T21:51:44.250Z",45.764,4.8357,7.26,3.08,17.44,1084.1
"sensor-3","2025-11-24T21:51:44.284Z",43.2965,5.3698,7.29,2.14,18.93,1431.33
"sensor-1","2025-11-24T21:51:49.289Z",48.8566,2.3522,7.25,2.81,15.96,791.66
"sensor-2","2025-11-24T21:51:49.382Z",45.764,4.8357,6.79,2.77,18.77,1012.09
"sensor-3","2025-11-24T21:51:49.391Z",43.2965,5.3698,7.6,1.95,18.73,1346.7
"sensor-1","2025-11-24T21:51:54.343Z",48.8566,2.3522,6.99,2.66,14.3,791.88
"sensor-2","2025-11-24T21:51:54.421Z",45.764,4.8357,7.13,2.64,18.22,1004.31
"sensor-3","2025-11-24T21:51:54.509Z",43.2965,5.3698,7.4,1.82,21.29,1596.25
"sensor-1","2025-11-24T21:51:59.439Z",48.8566,2.3522,7.1,2.8,16.12,884.16
"sensor-2","2025-11-24T21:51:59.672Z",45.764,4.8357,6.83,3.18,17.23,1189.32
"sensor-3","2025-11-24T21:51:59.872Z",43.2965,5.3698,7.35,1.75,19.56,1592.13
"sensor-1","2025-11-24T21:52:04.448Z",48.8566,2.3522,7.27,2.88,14.96,898.49
"sensor-2","2025-11-24T21:52:04.456Z",45.764,4.8357,6.71,3.24,19.31,1390.12
"sensor-3","2025-11-24T21:52:04.459Z",43.2965,5.3698,7.42,1.91,35.25,1688.08
"sensor-1","2025-11-24T21:52:09.466Z",48.8566,2.3522,6.92,2.52,15.15,691.7
"sensor-2","2025-11-24T21:52:09.558Z",45.764,4.8357,7.02,3.29,18.47,1088.32
"sensor-3","2025-11-24T21:52:09.600Z",43.2965,5.3698,7.54,1.31,19.25,1374.57
"sensor-1","2025-11-24T21:52:14.467Z",48.8566,2.3522,7.2,2.84,16.04,637.25
"sensor-2","2025-11-24T21:52:14.468Z",45.764,4.8357,7.29,3.28,16.46,1075.92
"sensor-3","2025-11-24T21:52:14.468Z",43.2965,5.3698,7.43,1.53,21.16,1598.78
"sensor-1","2025-11-24T21:52:19.489Z",48.8566,2.3522,7.16,2.59,16.48,996.37
"sensor-2","2025-11-24T21:52:19.504Z",45.764,4.8357,6.94,3.36,18.06,1142.3
"sensor-3","2025-11-24T21:52:19.520Z",43.2965,5.3698,7.53,1.93,18.39,1484.45
"sensor-1","2025-11-24T21:52:24.506Z",48.8566,2.3522,7.24,2.29,14.96,972.01
"sensor-2","2025-11-24T21:52:24.533Z",45.764,4.8357,3.52,2.61,16.43,1104.9
"sensor-3","2025-11-24T21:52:24.541Z",43.2965,5.3698,7.33,2.28,20.46,1303.87
"sensor-1","2025-11-24T21:52:29.523Z",48.8566,2.3522,7.5,2.55,13.82,721.55
"sensor-2","2025-11-24T21:52:29.548Z",45.764,4.8357,7.19,2.96,19.66,1045.97
"sensor-3","2025-11-24T21:52:29.552Z",43.2965,5.3698,7.79,2,19.97,1446.22
"sensor-1","2025-11-24T21:52:34.524Z",48.8566,2.3522,7.3,2.29,15.54,608.28
"sensor-2","2025-11-24T21:52:34.525Z",45.764,4.8357,7.25,2.58,16.36,1120.6
"sensor-3","2025-11-24T21:52:34.525Z",43.2965,5.3698,7.8,1.97,20.61,1348.68
"sensor-1","2025-11-24T21:52:39.536Z",48.8566,2.3522,7.25,2.74,13.85,899.04
"sensor-2","2025-11-24T21:52:39.540Z",45.764,4.8357,6.96,2.66,17.55,1280.75
"sensor-3","2025-11-24T21:52:39.546Z",43.2965,5.3698,7.31,2.22,19.68,1350.82
"sensor-1","2025-11-24T21:52:44.548Z",48.8566,2.3522,7.35,2.19,16.27,709.02
"sensor-2","2025-11-24T21:52:44.550Z",45.764,4.8357,7.25,3.43,19.05,1054.92
"sensor-3","2025-11-24T21:52:44.551Z",43.2965,5.3698,7.64,1.49,20.17,1304.21
"sensor-1","2025-11-24T21:52:49.566Z",48.8566,2.3522,7.42,2.23,15.84,669.14
"sensor-2","2025-11-24T21:52:49.576Z",45.764,4.8357,6.85,2.95,16.03,1010.86
"sensor-3","2025-11-24T21:52:49.587Z",43.2965,5.3698,7.22,13.22,21.7,1364.19
"sensor-1","2025-11-24T21:52:54.921Z",48.8566,2.3522,7.21,2.42,13.4,772.12
"sensor-2","2025-11-24T21:52:55.034Z",45.764,4.8357,7.25,3.44,17.18,1019.88
"sensor-3","2025-11-24T21:52:55.179Z",43.2965,5.3698,7.42,2.03,18.37,1365.86
"sensor-1","2025-11-24T21:52:59.966Z",48.8566,2.3522,7.29,2.77,16.2,750.32
"sensor-2","2025-11-24T21:52:59.989Z",45.764,4.8357,6.81,2.51,17.28,1063.32
"sensor-3","2025-11-24T21:53:00.067Z",43.2965,5.3698,7.75,1.67,18.94,4801.12
"sensor-1","2025-11-24T21:53:04.993Z",48.8566,2.3522,7.17,2.54,14.77,770.61
"sensor-2","2025-11-24T21:53:05.076Z",45.764,4.8357,6.79,3.11,19.22,1116.07
"sensor-3","2025-11-24T21:53:05.077Z",43.2965,5.3698,7.62,2.28,18.24,1573.01
"sensor-1","2025-11-24T21:53:10.004Z",48.8566,2.3522,7.05,2.83,16.89,990.73
"sensor-2","2025-11-24T21:53:10.005Z",45.764,4.8357,6.8,3.34,19.53,1298.16
"sensor-3","2025-11-24T21:53:10.005Z",43.2965,5.3698,7.72,1.44,20.25,1360.55
"sensor-1","2025-11-24T21:53:15.019Z",48.8566,2.3522,7.03,2.45,16.41,884.77
"sensor-2","2025-11-24T21:53:15.021Z",45.764,4.8357,6.86,3.18,16.52,1266.47
"sensor-3","2025-11-24T21:53:15.024Z",43.2965,5.3698,7.46,1.66,20.62,1396.3
"sensor-1","2025-11-24T21:53:20.028Z",48.8566,2.3522,6.93,2.58,15.87,675.98
"sensor-2","2025-11-24T21:53:20.028Z",45.764,4.8357,7.02,3.27,16.69,1162.29
"sensor-3","2025-11-24T21:53:20.029Z",43.2965,5.3698,7.6,1.63,20.45,1399.67
"sensor-1","2025-11-24T21:53:25.042Z",48.8566,2.3522,7.39,2.23,16.25,632.66
"sensor-2","2025-11-24T21:53:25.044Z",45.764,4.8357,6.75,2.65,18.71,1152.13
"sensor-3","2025-11-24T21:53:25.044Z",43.2965,5.3698,7.2,1.5,18.84,1392.95
"sensor-1","2025-11-24T21:53:30.042Z",48.8566,2.3522,7.44,2.61,15.07,869.92
"sensor-2","2025-11-24T21:53:30.042Z",45.764,4.8357,6.88,3.25,17.9,1225.99
"sensor-3","2025-11-24T21:53:30.043Z",43.2965,5.3698,7.65,1.3,21.58,1560.08
"sensor-1","2025-11-24T21:53:35.056Z",48.8566,2.3522,6.99,2.56,16.82,823.61
"sensor-2","2025-11-24T21:53:35.063Z",45.764,4.8357,6.8,3.22,16.16,1384.95
"sensor-3","2025-11-24T21:53:35.067Z",43.2965,5.3698,7.65,1.53,21.57,1454.98
"sensor-1","2025-11-24T21:53:40.059Z",48.8566,2.3522,6.98,2.2,13.24,967.87
"sensor-2","2025-11-24T21:53:40.059Z",45.764,4.8357,6.93,3.35,17.84,1150.18
"sensor-3","2025-11-24T21:53:40.060Z",43.2965,5.3698,7.56,2.13,21.84,1623.04
"sensor-1","2025-11-24T21:53:45.067Z",48.8566,2.3522,7.15,2.55,14.15,953.48
"sensor-2","2025-11-24T21:53:45.073Z",45.764,4.8357,7.3,3.11,16.49,1041.83
"sensor-3","2025-11-24T21:53:45.074Z",43.2965,5.3698,7.2,1.8,19.6,1343.93
"sensor-1","2025-11-24T21:53:50.069Z",48.8566,2.3522,6.98,2.51,16.17,875.01
"sensor-2","2025-11-24T21:53:50.070Z",45.764,4.8357,7.11,3.26,18.71,1240.64
"sensor-3","2025-11-24T21:53:50.070Z",43.2965,5.3698,7.78,1.73,20.34,1428.75
"sensor-1","2025-11-24T21:53:55.080Z",48.8566,2.3522,7.03,2.34,13.4,864.93
"sensor-2","2025-11-24T21:53:55.082Z",45.764,4.8357,6.91,3.16,19.42,1141.66
"sensor-3","2025-11-24T21:53:55.084Z",43.2965,5.3698,7.54,2,20.62,1586.62
"sensor-1","2025-11-24T21:54:00.084Z",48.8566,2.3522,7.33,2.64,15.59,957.14
"sensor-2","2025-11-24T21:54:00.086Z",45.764,4.8357,6.78,2.52,17.5,1192.05
"sensor-3","2025-11-24T21:54:00.088Z",43.2965,5.3698,7.37,1.62,19.31,1391.3
"sensor-1","2025-11-24T21:54:05.093Z",48.8566,2.3522,7.44,2.76,14.08,641.35
"sensor-2","2025-11-24T21:54:05.095Z",45.764,4.8357,7.26,2.87,18.49,1008.95
"sensor-3","2025-11-24T21:54:05.096Z",43.2965,5.3698,7.53,1.65,21.59,1306.89
"sensor-1","2025-11-24T21:54:10.098Z",48.8566,2.3522,7.13,2.66,13.92,998.96
"sensor-2","2025-11-24T21:54:10.098Z",45.764,4.8357,6.86,3.46,17.98,1323.87
"sensor-3","2025-11-24T21:54:10.099Z",43.2965,5.3698,7.73,2.03,21.81,1608.59
"sensor-1","2025-11-24T21:54:15.101Z",48.8566,2.3522,7.47,2.02,15.64,889.07
"sensor-2","2025-11-24T21:54:15.102Z",45.764,4.8357,6.89,3.47,18.84,1100.4
"sensor-3","2025-11-24T21:54:15.104Z",43.2965,5.3698,7.78,1.54,30.68,1469.17
"sensor-1","2025-11-24T21:54:20.124Z",48.8566,2.3522,6.94,2.74,13.5,616.52
"sensor-2","2025-11-24T21:54:20.143Z",45.764,4.8357,7.27,3.33,16.1,1154.24
"sensor-3","2025-11-24T21:54:20.161Z",43.2965,5.3698,7.77,1.64,21.9,1655.4
"sensor-1","2025-11-24T21:54:25.132Z",48.8566,2.3522,6.93,2.02,16.64,869.33
